2026-05-30 16:27:08 | INFO | __main__ | streamlit_app.py:53 | Loding model for streamlit...
2026-05-30 16:27:17 | ERROR | __main__ | streamlit_app.py:61 | Streamlit model failed to load: load_model() got an unexpected keyword argument 'custom_object'
2026-05-30 16:28:54 | INFO | __main__ | streamlit_app.py:53 | Loding model for streamlit...
2026-05-30 16:28:55 | INFO | __main__ | streamlit_app.py:57 | Streamlit model loaded successfully
2026-05-30 18:04:21 | INFO | __main__ | streamlit_app.py:53 | Loding model for streamlit...
2026-05-30 18:04:27 | INFO | __main__ | streamlit_app.py:57 | Streamlit model loaded successfully
2026-05-30 18:10:20 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:10:21 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:10:42 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:10:42 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:10:55 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:10:55 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:10:56 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:10:56 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:10:56 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:10:56 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:10:57 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:10:57 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:10:57 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:10:57 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:10:57 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:10:57 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:11 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:11 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:14 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:14 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:16 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:16 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:17 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:17 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:17 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:17 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:18 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:18 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:18 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:18 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:18 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:18 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:19 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:19 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:20 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:20 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:21 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:21 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:21 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:21 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:22 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:22 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:30 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:30 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:30 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:30 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:31 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:31 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:32 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:32 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:33 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
2026-05-30 18:11:33 | INFO | utils.processing | processing.py:18 | Preprocessing image of size : (600, 450) and mode : RGB
2026-05-30 18:11:38 | INFO | __main__ | streamlit_app.py:81 | file uploaded in streamlit : lbox_37464-Afbeelding1.jpg
